Ano,Comércio mundial (% do PIB),Série
1500,2.25,"Estevadeordal, Frantz, e Taylor (LS)"
1500,0.5,"Estevadeordal, Frantz, e Taylor (LI)"
1600,5.5,"Estevadeordal, Frantz, e Taylor (LS)"
1600,1.25,"Estevadeordal, Frantz, e Taylor (LI)"
1700,5.5,"Estevadeordal, Frantz, e Taylor (LS)"
1700,1.25,"Estevadeordal, Frantz, e Taylor (LI)"
1820,9.5,"Estevadeordal, Frantz, e Taylor (LS)"
1820,2.0,"Estevadeordal, Frantz, e Taylor (LI)"
1870,17.57,Klasing e Milionis
1871,20.469999,Klasing e Milionis
1872,21.32,Klasing e Milionis
1873,20.85,Klasing e Milionis
1874,21.620001,Klasing e Milionis
1875,21.98,Klasing e Milionis
1876,22.09,Klasing e Milionis
1877,22.209999,Klasing e Milionis
1878,23.35,Klasing e Milionis
1879,23.67,Klasing e Milionis
1880,23.66,Klasing e Milionis
1881,23.790001,Klasing e Milionis
1882,23.870001,Klasing e Milionis
1883,24.33,Klasing e Milionis
1884,23.26,Klasing e Milionis
1885,22.52,Klasing e Milionis
1886,22.639999,Klasing e Milionis
1887,22.23,Klasing e Milionis
1888,22.92,Klasing e Milionis
1889,24.290001,Klasing e Milionis
1890,24.52,Klasing e Milionis
1891,24.129999,Klasing e Milionis
1892,22.049999,Klasing e Milionis
1893,21.860001,Klasing e Milionis
1894,22.219999,Klasing e Milionis
1895,21.24,Klasing e Milionis
1896,24,Klasing e Milionis
1897,24.459999,Klasing e Milionis
1898,24.459999,Klasing e Milionis
1899,25,Klasing e Milionis
1900,24.360001,Klasing e Milionis
1901,24.459999,Klasing e Milionis
1902,24.620001,Klasing e Milionis
1903,24.68,Klasing e Milionis
1904,24.99,Klasing e Milionis
1905,26.290001,Klasing e Milionis
1906,27.66,Klasing e Milionis
1907,27.559999,Klasing e Milionis
1908,26.530001,Klasing e Milionis
1909,27.24,Klasing e Milionis
1910,27.459999,Klasing e Milionis
1911,28.629999,Klasing e Milionis
1912,29.629999,Klasing e Milionis
1913,29.01,Klasing e Milionis
1914,17.959999,Klasing e Milionis
1915,18.799999,Klasing e Milionis
1916,21.809999,Klasing e Milionis
1917,25.950001,Klasing e Milionis
1918,23.459999,Klasing e Milionis
1919,22.42,Klasing e Milionis
1920,21.66,Klasing e Milionis
1921,15.12,Klasing e Milionis
1922,16.709999,Klasing e Milionis
1923,18.02,Klasing e Milionis
1924,18.48,Klasing e Milionis
1925,19.360001,Klasing e Milionis
1926,18.379999,Klasing e Milionis
1927,18.93,Klasing e Milionis
1928,19.15,Klasing e Milionis
1929,18.75,Klasing e Milionis
1930,15.97,Klasing e Milionis
1931,13.77,Klasing e Milionis
1932,10.34,Klasing e Milionis
1933,10.72,Klasing e Milionis
1934,13.48,Klasing e Milionis
1935,13.11,Klasing e Milionis
1936,13.53,Klasing e Milionis
1937,15.39,Klasing e Milionis
1938,12.96,Klasing e Milionis
1939,12.97,Klasing e Milionis
1940,13.89,Klasing e Milionis
1941,12.68,Klasing e Milionis
1942,11.76,Klasing e Milionis
1943,12.55,Klasing e Milionis
1944,11.94,Klasing e Milionis
1945,10.14,Klasing e Milionis
1946,15.05,Klasing e Milionis
1947,19.82,Klasing e Milionis
1948,17.139999,Klasing e Milionis
1949,16.35,Klasing e Milionis
1950,19.867851,Penn World Tables (9.1)
1951,22.803799,Penn World Tables (9.1)
1952,20.092329,Penn World Tables (9.1)
1953,18.674465,Penn World Tables (9.1)
1954,19.222599,Penn World Tables (9.1)
1955,19.881781,Penn World Tables (9.1)
1956,20.845297,Penn World Tables (9.1)
1957,21.257008,Penn World Tables (9.1)
1958,19.418913,Penn World Tables (9.1)
1959,19.702271,Penn World Tables (9.1)
1960,21.931723,Penn World Tables (9.1)
1961,21.599577,Penn World Tables (9.1)
1962,21.165159,Penn World Tables (9.1)
1963,21.83226,Penn World Tables (9.1)
1964,22.020691,Penn World Tables (9.1)
1965,21.85181,Penn World Tables (9.1)
1966,22.192221,Penn World Tables (9.1)
1967,22.007828,Penn World Tables (9.1)
1968,22.599611,Penn World Tables (9.1)
1969,23.240227,Penn World Tables (9.1)
1970,25.233538,Penn World Tables (9.1)
1971,25.448309,Penn World Tables (9.1)
1972,26.037748,Penn World Tables (9.1)
1973,29.158554,Penn World Tables (9.1)
1974,35.39513,Penn World Tables (9.1)
1975,33.49688,Penn World Tables (9.1)
1976,34.52169,Penn World Tables (9.1)
1977,34.770832,Penn World Tables (9.1)
1978,33.912102,Penn World Tables (9.1)
1979,36.704262,Penn World Tables (9.1)
1980,39.500366,Penn World Tables (9.1)
1981,38.826172,Penn World Tables (9.1)
1982,37.020233,Penn World Tables (9.1)
1983,35.599777,Penn World Tables (9.1)
1984,36.346966,Penn World Tables (9.1)
1985,35.428539,Penn World Tables (9.1)
1986,33.601433,Penn World Tables (9.1)
1987,34.556255,Penn World Tables (9.1)
1988,35.413445,Penn World Tables (9.1)
1989,36.348183,Penn World Tables (9.1)
1990,38.02161,Penn World Tables (9.1)
1991,37.17942,Penn World Tables (9.1)
1992,39.116371,Penn World Tables (9.1)
1993,37.105022,Penn World Tables (9.1)
1994,38.567932,Penn World Tables (9.1)
1995,40.851563,Penn World Tables (9.1)
1996,41.847786,Penn World Tables (9.1)
1997,43.588886,Penn World Tables (9.1)
1998,43.267681,Penn World Tables (9.1)
1999,43.487377,Penn World Tables (9.1)
2000,47.164257,Penn World Tables (9.1)
2001,46.009953,Penn World Tables (9.1)
2002,46.429943,Penn World Tables (9.1)
2003,48.279873,Penn World Tables (9.1)
2004,51.768803,Penn World Tables (9.1)
2005,54.31638,Penn World Tables (9.1)
2006,57.504444,Penn World Tables (9.1)
2007,59.031559,Penn World Tables (9.1)
2008,61.11314,Penn World Tables (9.1)
2009,51.399078,Penn World Tables (9.1)
2010,55.853504,Penn World Tables (9.1)
2011,59.459286,Penn World Tables (9.1)
2012,58.663742,Penn World Tables (9.1)
2013,58.387039,Penn World Tables (9.1)
2014,57.883789,Penn World Tables (9.1)
2015,54.342419,Penn World Tables (9.1)
2016,52.008652,Penn World Tables (9.1)
2017,53.479523,Penn World Tables (9.1)
